Host_reported,Host_NCBI,Host_NCBI_TaxID,harmonized_rank,Host_Upham
Myotis lucifugus,Myotis lucifugus,59463,species,Myotis lucifugus
Myotis lucifugus lucifugus,Myotis lucifugus,59463,species,Myotis lucifugus
Myotis myotis,Myotis myotis,51298,species,Myotis myotis
Myotis myotis Borkhausen,Myotis myotis,51298,species,Myotis myotis
Myotus lucifugus,Myotis lucifugus,59463,species,Myotis lucifugus
Neotoma albigula,Neotoma albigula,42408,species,Neotoma albigula
Neotoma micropus,Neotoma micropus,105150,species,Neotoma micropus
Oligoryzomys fulvescens,Oligoryzomys fulvescens,218825,species,Oligoryzomys fulvescens
Ondatra zibetheca,Ondatra zibethicus,10060,species,Ondatra zibethicus
Oryzomys couesi,Oryzomys couesi,160399,species,Oryzomys couesi
Oryzomys laticeps velutinus,Hylaeamys laticeps,530175,species,Hylaeamys laticeps
Oryzomys capito,Hylaeamys megacephalus,89099,species,Hylaeamys megacephalus
Otomys irroratus,Otomys irroratus,121570,species,Otomys irroratus
Peromyscus gossypinus,Peromyscus gossypinus,42411,species,Peromyscus gossypinus
Peromyscus leucopus,Peromyscus leucopus,10041,species,Peromyscus leucopus
Peromyscus maniculatus,Peromyscus maniculatus,10042,species,Peromyscus maniculatus
Petaurista petaurista philippensis,Petaurista philippensis,89095,species,Petaurista philippensis
Phyllorina sp.,Hipposideros,58068,genus,NA
Phyllostomus discolor,Phyllostomus discolor,89673,species,Phyllostomus discolor
Pipistrellus pipistrellus,Pipistrellus pipistrellus,59474,species,Pipistrellus pipistrellus
Pipistrellus subflavus,Perimyotis subflavus,27672,species,Pipistrellus subflavus
Pipistrellus subflavus,Perimyotis subflavus,27672,species,Pipistrellus subflavus
Plecotus auritus,Plecotus auritus,61862,species,Plecotus auritus
Praomys natalensis,Mastomys natalensis,10112,species,Mastomys natalensis
Proechimys semispinosus,Proechimys semispinosus,1246547,species,Proechimys semispinosus
Pteropus alecto,Pteropus alecto,9402,species,Pteropus alecto
Pteropus giganteus,Pteropus giganteus,143291,species,Pteropus giganteus
Pteropus poliocephalus,Pteropus poliocephalus,9403,species,Pteropus poliocephalus
Pteropus vampyrus,Pteropus vampyrus,132908,species,Pteropus vampyrus
Rattus norvegicus,Rattus norvegicus,10116,species,Rattus norvegicus
Rattus rattus,Rattus rattus,10117,species,Rattus rattus
Rattus rattus,Rattus rattus,10117,species,Rattus rattus
Rattus rattus sp.,Rattus rattus,10117,species,Rattus rattus
Rhabdomys pumilio,Rhabdomys pumilio,121573,species,Rhabdomys pumilio
Rhinolophus rouxii,Rhinolophus rouxii,89398,species,Rhinolophus rouxii
Rhinolophus sp.,Rhinolophus,49442,genus,NA
Rhombomys opimus,Rhombomys opimus,186474,species,Rhombomys opimus
Rousettus aegyptiacus,Rousettus aegyptiacus,9407,species,Rousettus aegyptiacus
Rousettus leschenaulti,Rousettus leschenaultii,9408,species,Rousettus leschenaultii
Spermophilus lateralis,Callospermophilus lateralis,76772,species,Callospermophilus lateralis
Saccostomus,Saccostomus,106346,genus,NA
Saccostomus campestris,Saccostomus campestris,122953,species,Saccostomus campestris
Saccostomys campestris,Saccostomus campestris,122953,species,Saccostomus campestris
Sciurus carolinensis,Sciurus carolinensis,30640,species,Sciurus carolinensis
Sciurus griseus,Hesperosciurus griseus,53278,species,Sciurus griseus
Sciurus niger,Sciurus niger,34861,species,Sciurus niger
Sigmodon hispidus,Sigmodon hispidus,42415,species,Sigmodon hispidus
Sigmodon hispidus,Sigmodon hispidus,42415,species,Sigmodon hispidus
Sigmodontinae,Sigmodontinae,40141,subfamily,NA
Spermophilus beecheyi,Otospermophilus beecheyi,34862,species,Otospermophilus beecheyi
Spermophilus richardsonii,Urocitellus richardsonii,37591,species,Urocitellus richardsonii
Spermophilus tridecemlineatus,Ictidomys tridecemlineatus,43179,species,Ictidomys tridecemlineatus
Sturnira lilium,Sturnira lilium,27660,species,Sturnira lilium
Tadarida (Mopt) condylura,Mops condylurus,258863,species,Mops condylurus
Tadarida b. mexicana,Tadarida brasiliensis,9438,species,Tadarida brasiliensis
Tadarida brasiliensis,Tadarida brasiliensis,9438,species,Tadarida brasiliensis
Tadarida brasiliensis mexicana,Tadarida brasiliensis,9438,species,Tadarida brasiliensis
Tadarida condylura,Mops condylurus,258863,species,Mops condylurus
Tadarida mexicana,Tadarida brasiliensis,9438,species,Tadarida brasiliensis
Tadarida pumila,Mops pumilus,242384,species,Chaerephon pumilus
Tamias striatus,Tamias striatus,45474,species,Tamias striatus
Tamias striatus griseus,Tamias striatus,45474,species,Tamias striatus
Tatera,Tatera,41262,genus,NA
Tatera brantsi,Gerbilliscus brantsii,410299,species,Gerbilliscus brantsii
Tatera leucogaster,Gerbilliscus leucogaster,410302,species,Gerbilliscus leucogaster
Vampire bats,Desmodus rotundus,9430,species,Desmodus rotundus
Vesperugo sp.,Pipistrellus,27671,genus,NA
Wood rat (Neotoma sp.),Neotoma,42407,genus,NA
Xerus (Euxerus) Erythropus,Xerus erythropus,327507,species,Xerus erythropus
Zygodontomys b. brevicauda,Zygodontomys brevicauda,157541,species,Zygodontomys brevicauda
Zygodontomys microtinus,Zygodontomys microtinus,548537,species,Zygodontomys brevicauda
