UniversalName,SppName_ICTV_MSL2018b,Reservoir,Vector.borne,Vector,Reference_Reservoir,Reference_Vector
Durham tupavirus,NA,Orphan,NA,NA,﻿Allison2011,NA
Duvenhage lyssavirus,Duvenhage lyssavirus,Vespbat,0,NA,Babayan2018,NA
Eastern equine encephalitis virus,Eastern equine encephalitis virus,Passeriformes,1,mosquito,arrigo2010,Babayan2018
Echinochloa hoja blanca tenuivirus,NA,Plant,NA,NA,NA,NA
Echinochloa ragged stunt virus,NA,Plant,NA,NA,NA,NA
Ectromelia virus,Ectromelia virus,Rodent,0,NA,Esteban2005,NA
Edge Hill virus,Edge Hill virus,Orphan,NA,mosquito,﻿Weissenbock2010,﻿Weissenbock2010
Eggplant mottled dwarf nucleorhabdovirus,Eggplant mottled dwarf nucleorhabdovirus,Plant,1,leafhopper,Babayan2018,Babayan2018
Eilat virus,Eilat virus,Insect,0,mosquito,Babayan2018,Babayan2018
Ekpoma 1 tibrovirus,Ekpoma 1 tibrovirus,Orphan,NA,unknown,﻿Stremlau2015,NA
Ekpoma 2 tibrovirus,Ekpoma 2 tibrovirus,Orphan,NA,unknown,﻿Stremlau2015,NA
El Moro Canyon orthohantavirus,El Moro Canyon orthohantavirus,Rodent,0,NA,Shapshak2015,NA
Elapid 1 bornavirus,NA,Reptile,NA,NA,﻿Kuhn2014,NA
Entebbe bat virus,Entebbe bat virus,Vespbat,?,unknown,Babayan2018,Babayan2018
Enterovirus A,Enterovirus A,Human,0,NA,Knipe2013,NA
Enterovirus A,Enterovirus A,NonHumanPrimate,0,NA,Wachtman2012,NA
Enterovirus B,Enterovirus B,Human,0,NA,Knipe2013,NA
Enterovirus B,Enterovirus B,NonHumanPrimate,0,NA,Wachtman2012,NA
Enterovirus C,Enterovirus C,Human,0,NA,Knipe2013,NA
Enterovirus D,Enterovirus D,Human,0,NA,Knowles2012,NA
Enterovirus E,Enterovirus E,Artiodactyl,0,NA,﻿Zhu2014,NA
Enterovirus F,NA,Artiodactyl,0,NA,﻿Zell2018,NA
Enterovirus G,Enterovirus G,Artiodactyl,0,NA,Knowles2012,NA
Enterovirus H,Enterovirus H,NonHumanPrimate,0,NA,Oberste2007,NA
Enterovirus I,Enterovirus I,Artiodactyl,0,NA,Babayan2018,NA
Enterovirus J,NA,NonHumanPrimate,0,NA,﻿Mombo2017,NA
Epizootic hemorrhagic disease virus,Epizootic hemorrhagic disease virus,Artiodactyl,1,midge,Shapshak2015,Shapshak2015
Epsilonpapillomavirus 1,Epsilonpapillomavirus 1,Artiodactyl,0,NA,"Knipe2013, Bernard2010",NA
Equid alphaherpesvirus 1,Equid alphaherpesvirus 1,Perissodactyla,0,NA,Crabb1995,NA
Equid alphaherpesvirus 3,Equid alphaherpesvirus 3,Perissodactyla,0,NA,Barrandeguy2010,NA
Equid alphaherpesvirus 4,Equid alphaherpesvirus 4,Perissodactyla,0,NA,Crabb1995,NA
Equid alphaherpesvirus 8,Equid alphaherpesvirus 8,Perissodactyla,0,NA,Garvey2018,NA
Equid alphaherpesvirus 9,Equid alphaherpesvirus 9,Perissodactyla,0,NA,Borchers2008,NA
Equid gammaherpesvirus 2,Equid gammaherpesvirus 2,Perissodactyla,0,NA,Fortier2010,NA
Equid gammaherpesvirus 5,Equid gammaherpesvirus 5,Perissodactyla,0,NA,Fortier2010,NA
Equid gammaherpesvirus 7,Equid gammaherpesvirus 7,Perissodactyla,0,NA,Marenzoni2015,NA
Equine arteritis virus,Alphaarterivirus equid,Perissodactyla,0,NA,Knipe2013,NA
Equine encephalosis virus,Equine encephalosis virus,Perissodactyla,1,midge,Oura2012,Oura2012
Equine foamy virus,Equine foamy virus,Perissodactyla,0,NA,Knipe2013,NA
Equine hepacivirus,NA,Perissodactyla,0,NA,Babayan2018,NA
Equine infectious anemia virus,Equine infectious anemia virus,Perissodactyla,1,DIPTERA,Cook2013,Cook2013
Equine mastadenovirus A,Equine mastadenovirus A,Perissodactyla,0,NA,Cavanagh2012,NA
Equine mastadenovirus B,Equine mastadenovirus B,Perissodactyla,0,NA,Cavanagh2012,NA
Equine rhinitis A virus,Equine rhinitis A virus,Perissodactyla,0,NA,Savage2013,NA
Equine torovirus,Equine torovirus,Perissodactyla,0,NA,Cavanagh2005,NA
Erbovirus A,Erbovirus A,Perissodactyla,0,NA,Savage2013,NA
Eriocheir sinensis reovirus,NA,Crustacean,NA,NA,NA,NA
Estero Real orthobunyavirus,NA,NA,NA,tick,NA,Knipe2013
Eubenangee virus,Eubenangee virus,NA,1,midge,NA,Belaganahalli2014
European bat 1 lyssavirus,European bat 1 lyssavirus,Vespbat,0,NA,Babayan2018,NA
European bat 2 lyssavirus,European bat 2 lyssavirus,Vespbat,0,NA,Babayan2018,NA
European brown hare syndrome virus,European brown hare syndrome virus,Lagomorph,0,NA,Babayan2018,NA
Everglades virus,Everglades virus,Rodent,1,mosquito,Contigiani2017a,Contigiani2017a
Eyach virus,Eyach virus,Orphan,1,tick,Pluta2011; Jaafar2015,Vasilakis2016; Nuttal2014
Farmington virus,NA,Orphan,1,unknown,travassosdarosa2002,Babayan2018
Fathead minnow nidovirus 1,NA,Fish,NA,NA,NA,NA
Felid alphaherpesvirus 1,Felid alphaherpesvirus 1,Carnivore,0,NA,Gaskell1999,NA
Feline astrovirus 2,NA,Carnivore,0,NA,Babayan2018,NA
Feline calicivirus,Feline calicivirus,Carnivore,0,NA,Babayan2018,NA
Feline foamy virus,Feline foamy virus,Carnivore,0,NA,Knipe2013,NA
Feline immunodeficiency virus,Feline immunodeficiency virus,Carnivore,0,NA,Knipe2013,NA
Feline leukemia virus,Feline leukemia virus,Carnivore,0,NA,Hardy1976,NA
Feline morbillivirus,Feline morbillivirus,Carnivore,0,NA,Babayan2018,NA
Feline picornavirus,NA,Carnivore,0,NA,Babayan2018,NA
Ferak orthoferavirus,Ferak feravirus,Insect,0,mosquito,Babayan2018,Babayan2018
Ferret kobuvirus,NA,Carnivore,0,NA,Babayan2018,NA
Festuca leaf streak cytorhabdovirus,NA,Plant,NA,NA,NA,NA
Fiji disease virus,NA,Plant,NA,NA,NA,NA
Fikirini ledantevirus,Fikirini ledantevirus,Pterobat,0,NA,Babayan2018,NA
Finkel-Biskis-Jinkins murine sarcoma virus,NA,NONE,NA,NA,NA,NA
Flanders hapavirus,NA,Passeriformes,1,mosquito,﻿Golnar2018,﻿Golnar2018
Flexal mammarenavirus,Flexal mammarenavirus,Rodent,0,NA,Babayan2018,NA
Foot-and-mouth disease virus,Foot-and-mouth disease virus,Artiodactyl,0,NA,Babayan2018,NA
Fort Morgan virus,Fort Morgan virus,Passeriformes,1,cimicid,allison2015,Babayan2018
Free State vervet virus,NA,NA,NA,NA,NA,NA
Frijoles phlebovirus,NA,NA,NA,sandfly,NA,Knipe2013
Fugong orthohantavirus,NA,Orphan,NA,NA,﻿Ge2016,NA
Fujinami sarcoma virus,NA,NONE,NA,NA,Knipe2013,NA
Fukuoka ledantevirus,NA,NA,NA,NA,NA,NA
Fusong orthohantavirus,NA,Rodent,0,NA,﻿Zou2008,NA
Gadgets Gully virus,Gadgets Gully virus,Orphan,1,tick,﻿Major2009,﻿Labuda2004
Gairo mammarenavirus,Gairo mammarenavirus,Rodent,0,NA,Babayan2018,NA
Gallivirus A,NA,Orphan,0,NA,﻿Boros2012,NA
Gallivirus Pf-CHK1/GV,NA,Orphan,0,NA,boros2016,NA
Gamboa orthobunyavirus,NA,Orphan,1,mosquito,﻿Eastwood2016,Knipe2013
Gammapapillomavirus 1,Gammapapillomavirus 1,Human,0,NA,"Knipe2013, Bernard2010",NA
Gammapapillomavirus 2,Gammapapillomavirus 2,Human,0,NA,Knipe2013; Bernard2010,NA
Gammapapillomavirus 3,Gammapapillomavirus 3,Human,0,NA,Knipe2013; Bernard2010,NA
Gammapapillomavirus 4,Gammapapillomavirus 4,Human,0,NA,Knipe2013; Bernard2010,NA
Gammapapillomavirus 5,Gammapapillomavirus 5,Human,0,NA,Knipe2013; Bernard2010,NA
Gan Gan virus,NA,NA,1,mosquito,NA,﻿Russell1991; ﻿Gauci2016
Gardner-Arnstein feline sarcoma virus,NA,NONE,0,NA,Knipe2013,NA
Garlic dwarf virus,NA,Plant,NA,NA,NA,NA
Gbagroube virus,NA,Rodent,0,NA,Babayan2018,NA
Getah virus,Getah virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Ghanaian bat henipavirus,Ghanaian bat henipavirus,Pterobat,0,NA,Babayan2018,NA
Gibbon ape leukemia virus,Gibbon ape leukemia virus,NonHumanPrimate,0,NA,Wachtman2012,NA
Goatpox virus,Goatpox virus,Artiodactyl,0,NA,Shapshak2015,NA
Goose astrovirus,NA,Orphan,0,NA,zhang2017,NA
Goose calicivirus,NA,Orphan,0,NA,liao2014a,NA
Goose paramyxovirus SF02,NA,NA,0,NA,NA,NA
Gorilline gammaherpesvirus 1,Gorilline gammaherpesvirus 1,NonHumanPrimate,0,NA,Wachtman2012,NA
Gouleako goukovirus,Gouleako goukovirus,Insect,0,mosquito,Babayan2018,Babayan2018
Gray Lodge hapavirus,NA,NA,NA,NA,NA,NA
Great Island virus,Great Island virus,Charadriiformes,1,tick,nunn2005,Labuda2004
Ground squirrel hepatitis virus,Ground squirrel hepatitis virus,Rodent,0,NA,Knipe2013,NA
Groundnut bud necrosis orthotospovirus,Groundnut bud necrosis tospovirus,Plant,1,thrip,Babayan2018,Babayan2018
Groundnut ringspot orthotospovirus,NA,Plant,NA,NA,NA,NA
Groundnut yellow spot orthotospovirus,NA,Plant,NA,NA,NA,NA
Guajara orthobunyavirus,NA,NA,NA,NA,NA,NA
Guama orthobunyavirus,Guama orthobunyavirus,NA,1,mosquito,NA,Shapshak2015
Guanarito mammarenavirus,Guanarito mammarenavirus,Rodent,0,NA,Babayan2018,NA
Guaroa orthobunyavirus,Guaroa orthobunyavirus,Orphan,1,mosquito,Aguilar2010,Contigiani2017
Guinea pig adenovirus,NA,NA,NA,NA,NA,NA
Guinea pig type-C oncovirus,Guinea pig type-C oncovirus,NA,NA,NA,NA,NA
Hantaan orthohantavirus,Hantaan orthohantavirus,Rodent,0,NA,Babayan2018,NA
Hardy-Zuckerman feline sarcoma virus,NA,NONE,0,NA,Knipe2013,NA
Hare fibroma virus,Hare fibroma virus,Lagomorph,0,NA,Knipe2013,NA
Harkavirus A,Harkavirus A,Orphan,0,NA,boros2015,NA
Hart Park hapavirus,NA,NA,1,mosquito,NA,﻿Boyd1972
Harvey murine sarcoma virus,NA,NONE,0,NA,Knipe2013,NA
Hazara orthonairovirus,NA,Orphan,1,tick,﻿Shimada2016,Knipe2013
Heartland virus,NA,Orphan,1,tick,Babayan2018,Babayan2018
Hedgehog coronavirus 1,Hedgehog coronavirus 1,Erinaceidae,0,NA,Babayan2018,NA
Hendra henipavirus,Hendra henipavirus,Pterobat,0,NA,Babayan2018,NA
Hepacivirus A,NA,Perissodactyla,0,NA,﻿Smith2016a,NA
Hepacivirus B,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus C,Hepacivirus C,Human,0,NA,Knipe2013,NA
Hepacivirus D,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus E,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus F,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus G,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus H,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus I,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus J,NA,Orphan,0,NA,﻿Smith2016a,NA
Hepacivirus K,NA,Orphan,NA,NA,﻿Smith2016a,NA
Hepacivirus L,NA,Orphan,NA,NA,﻿Smith2016a,NA
Hepacivirus M,NA,Orphan,NA,NA,﻿Smith2016a,NA
Hepacivirus N,NA,Artiodactyl,0,NA,﻿Smith2016a,NA
Hepatitis B virus,Hepatitis B virus,Human,0,NA,Wachtman2012,NA
Hepatitis B virus,Hepatitis B virus,NonHumanPrimate,0,NA,Wachtman2012,NA
Hepatitis delta virus,Hepatitis delta virus,Human,0,NA,Knipe2013,NA
Hepatitis GB virus B,NA,Orphan,?,NA,hartlage2016,NA
Hepatovirus A,Hepatovirus A,Human,0,NA,Wachtman2012,NA
Hepatovirus A,Hepatovirus A,NonHumanPrimate,0,NA,Wachtman2012,NA
Hepatovirus B,Hepatovirus B,Carnivore,0,NA,Babayan2018,NA
Hepatovirus C,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus D,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus E,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus F,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus G,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus H,NA,Orphan,0,NA,﻿Drexler2015,NA
Hepatovirus I,NA,Orphan,0,NA,﻿Drexler2015,NA
Herbert herbevirus,Herbert herbevirus,Insect,0,mosquito,Babayan2018,Babayan2018
Highlands J virus,Highlands J virus,Passeriformes,1,mosquito,allison2015,Babayan2018
Hippotragine gammaherpesvirus 1,Hippotragine gammaherpesvirus 1,Artiodactyl,0,NA,OToole2014,NA
Hirame novirhabdovirus,Hirame novirhabdovirus,Fish,0,NA,Babayan2018,NA
HMO Astrovirus A,NA,Human,0,NA,Donato2017,NA
Hughes orthonairovirus,NA,Charadriiformes,1,tick,Knipe2013,Labuda2004
Human alphaherpesvirus 1,Human alphaherpesvirus 1,Human,0,NA,Knipe2013,NA
Human alphaherpesvirus 2,Human alphaherpesvirus 2,Human,0,NA,Knipe2013,NA
Human alphaherpesvirus 3,Human alphaherpesvirus 3,Human,0,NA,Knipe2013,NA
Human betaherpesvirus 5,Human betaherpesvirus 5,Human,0,NA,Knipe2013; Wachtman2012,NA
Human betaherpesvirus 7,Human betaherpesvirus 7,Human,0,NA,Knipe2013,NA
Human coronavirus 229E,Human coronavirus 229E,Artiodactyl,0,NA,Babayan2018,NA
Human coronavirus 229E,Human coronavirus 229E,Human,0,NA,Knipe2013,NA
Human coronavirus HKU1,Human coronavirus HKU1,Human,0,NA,Knipe2013,NA
Human coronavirus NL63,Human coronavirus NL63,Human,0,NA,Knipe2013,NA
Human gammaherpesvirus 4,Human gammaherpesvirus 4,Human,0,NA,Knipe2013,NA
Human gammaherpesvirus 8,Human gammaherpesvirus 8,Human,0,NA,Knipe2013,NA
Human immunodeficiency virus 1,Human immunodeficiency virus 1,Human,0,NA,Knipe2013,NA
Human immunodeficiency virus 2,Human immunodeficiency virus 2,Human,0,NA,Knipe2013,NA
Human mastadenovirus A,Human mastadenovirus A,Human,0,NA,Wevers2011,NA
Human mastadenovirus B,Human mastadenovirus B,Human,0,NA,Wevers2011,NA
Human mastadenovirus B,Human mastadenovirus B,NonHumanPrimate,0,NA,Wevers2011,NA
Human mastadenovirus C,Human mastadenovirus C,Human,0,NA,Wevers2011,NA
Human mastadenovirus C,Human mastadenovirus C,NonHumanPrimate,0,NA,Wevers2011,NA
Human mastadenovirus D,Human mastadenovirus D,Human,0,NA,Wevers2011,NA
Human mastadenovirus E,Human mastadenovirus E,Human,0,NA,Wevers2011,NA
Human mastadenovirus E,Human mastadenovirus E,NonHumanPrimate,0,NA,Wevers2011,NA
Human mastadenovirus F,Human mastadenovirus F,Human,0,NA,Wevers2011,NA
Human metapneumovirus,Human metapneumovirus,Human,0,NA,Knipe2013,NA
Human orthopneumovirus,Human orthopneumovirus,Human,0,NA,Knipe2013,NA
Human picobirnavirus,Human picobirnavirus,Orphan,0,NA,Ganesh2012,NA
Human polyomavirus 1,Human polyomavirus 1,Human,0,NA,calvignacspencer2016,NA
Human polyomavirus 2,Human polyomavirus 2,Human,0,NA,calvignacspencer2016,NA
Human respirovirus 1,Human respirovirus 1,Human,0,NA,Knipe2013,NA
Human respirovirus 3,Human respirovirus 3,Human,0,NA,Knipe2013,NA
Human rubulavirus 2,Human orthorubulavirus 2,Human,0,NA,Knipe2013,NA
Human rubulavirus 4,Human orthorubulavirus 4,Human,0,NA,Knipe2013,NA
Human torovirus,NA,Human,0,NA,Cavanagh2005,NA
Hunnivirus A,NA,Orphan,NA,NA,﻿Reuter2012,NA
Ia io picornavirus 1,NA,Vespbat,0,NA,Babayan2018,NA
Idnoreovirus 1,NA,Insect,0,NA,Knipe2013,NA
Idnoreovirus 2,NA,Insect,0,NA,Knipe2013,NA
Idnoreovirus 3,NA,Insect,0,NA,Knipe2013,NA
Idnoreovirus 4,NA,Insect,0,NA,Knipe2013,NA
Idnoreovirus 5,NA,Insect,0,NA,Knipe2013,NA
Ieri virus,NA,NA,1,NA,NA,﻿Attoui2015
Ikoma lyssavirus,Ikoma lyssavirus,Orphan,0,NA,Babayan2018,NA
Ilheus virus,Ilheus virus,Orphan,1,mosquito,Shope2003,Babayan2018
Imjin orthohantavirus,NA,Eulipotyphla,0,NA,﻿Gu2011,NA
Impatiens necrotic spot orthotospovirus,Impatiens necrotic spot tospovirus,Plant,1,thrip,Babayan2018,Babayan2018
Indiana vesiculovirus,Indiana vesiculovirus,Artiodactyl,1,sandfly,Babayan2018,Babayan2018
Infectious bursal disease virus,NA,Galliformes,0,NA,﻿Berg2010,NA
Infectious pancreatic necrosis virus,NA,Fish,NA,NA,NA,NA
Infectious salmon anemia virus,NA,Fish,NA,NA,NA,NA
Influenza A virus,Influenza A virus,Anseriformes,0,NA,Webster1992,NA
Influenza A virus,Influenza A virus,Artiodactyl,0,NA,Webster1992,NA
Influenza A virus,Influenza A virus,Carnivore,0,NA,Gibbs2010,NA
Influenza A virus,Influenza A virus,Charadriiformes,0,NA,Webster1992,NA
Influenza A virus,Influenza A virus,Human,0,NA,WorldHealthOrganization2018,NA
Influenza B virus,Influenza B virus,Human,0,NA,Knipe2013; WorldHealthOrganization2018,NA
Influenza C virus,Influenza C virus,Human,0,NA,Matsuzaki2016,NA
Influenza D virus,NA,Artiodactyl,0,NA,﻿Su2017,NA
Iotapapillomavirus 1,Iotapapillomavirus 1,Rodent,0,NA,"Knipe2013, Bernard2010",NA
Ippy mammarenavirus,Ippy mammarenavirus,Rodent,0,NA,Babayan2018,NA
Iranian wheat stripe tenuivirus,NA,Plant,NA,NA,NA,NA
Iriri curiovirus,NA,NA,NA,NA,NA,NA
Iris yellow spot orthotospovirus,NA,Plant,NA,NA,NA,NA
Irkut lyssavirus,Irkut lyssavirus,Vespbat,0,NA,Babayan2018,NA
Isfahan vesiculovirus,Isfahan vesiculovirus,Rodent,1,sandfly,Babayan2018,Babayan2018
Isla Vista virus,NA,Rodent,0,NA,Knipe2013,NA
Israel turkey meningoencephalomyelitis virus,NA,Galliformes,NA,NA,﻿Barnard1980,NA
Issyk-Kul virus,NA,Chiroptera,1,tick,lvov1991,atkinson2018
Itacaiunas curiovirus,NA,NA,NA,NA,NA,NA
Itaporanga virus,NA,NA,NA,NA,NA,NA
J-virus,NA,Rodent,0,NA,Babayan2018,NA
Jaagsiekte sheep retrovirus,Jaagsiekte sheep retrovirus,Artiodactyl,0,NA,Knipe2013,NA
Japanese encephalitis virus,Japanese encephalitis virus,Artiodactyl,1,mosquito,lord2015,Babayan2018
Japanese encephalitis virus,Japanese encephalitis virus,Pelecaniformes,1,mosquito,weaver2004,Babayan2018
Jeju orthohantavirus,NA,Eulipotyphla,0,NA,﻿Arai2012,NA
Jembrana disease virus,NA,Artiodactyl,0,NA,Knipe2013,NA
Johnston Atoll virus,NA,NA,1,tick,NA,﻿Labuda2004
Joinjakaka hapavirus,NA,NA,NA,NA,NA,NA
Jonchet orthojonvirus,Jonchet jonvirus,Insect,0,mosquito,Babayan2018,Babayan2018
Jugra virus,Jugra virus,Orphan,1,mosquito,Calisher2003,Vasilakis2016
Junín mammarenavirus,Argentinian mammarenavirus,Rodent,0,NA,Babayan2018,NA
Jurona vesiculovirus,Jurona vesiculovirus,Orphan,1,mosquito,Babayan2018,Babayan2018
Jutiapa virus,Jutiapa virus,Rodent,0,NA,Babayan2018,NA
Kadam virus,NA,NA,1,tick,﻿Calisher2003,﻿Labuda2004
Kadipiro virus,NA,NA,NA,NA,NA,NA
Kaeng Khoi orthobunyavirus,Kaeng Khoi orthobunyavirus,Orphan,?,unknown,Groseth2014,Groseth2014; Feng2017
Kafue kinda chacma baboon virus,NA,NonHumanPrimate,NA,NA,bailey2016,NA
Kairi orthobunyavirus,Kairi orthobunyavirus,Orphan,1,mosquito,Briese2007,Contigiani2017
Kama virus,NA,Orphan,1,tick,lvov2015,Babayan2018
Kamese hapavirus,NA,Orphan,NA,NA,simotchetgna2017,NA
Kamiti River virus,NA,Insect,0,mosquito,Babayan2018,Babayan2018
Kappapapillomavirus 1,Kappapapillomavirus 1,Lagomorph,0,NA,"Knipe2013, Bernard2010",NA
Kappapapillomavirus 2,Kappapapillomavirus 2,Lagomorph,0,NA,"Knipe2013, Bernard2010",NA
Kasokero orthonairovirus,Kasokero orthonairovirus,Pterobat,?,unknown,Kalunda1986; Walker2015a,Walker2016
Kedougou virus,Kedougou virus,Orphan,1,mosquito,Babayan2018,Babayan2018
Kenkeme orthohantavirus,NA,NA,NA,NA,NA,NA
Kern Canyon ledantevirus,Kern Canyon ledantevirus,Vespbat,?,Unknown,Kuzmin2006; Blasdell2015,Kuzmin2006
Keterah orthonairovirus,NA,NA,NA,tick,NA,varma1976
Keuraliba ledantevirus,Keuraliba ledantevirus,Rodent,?,Unknown,Cropp1985,Cropp1985; Blasdell2015
Khabarovsk orthohantavirus,Khabarovsk orthohantavirus,Rodent,0,NA,Shapshak2015,NA
Khujand lyssavirus,Khujand lyssavirus,Vespbat,0,NA,Babayan2018,NA
Kibale herbevirus,NA,Insect,0,mosquito,NA,marklewitz2013
Kibale red colobus virus 1,NA,NonHumanPrimate,0,NA,bailey2014,NA
Kibale red colobus virus 2,NA,NonHumanPrimate,0,NA,bailey2014,NA
Kibale red-tailed guenon virus 1,NA,NonHumanPrimate,0,NA,bailey2016,NA
Kimberley ephemerovirus,Kimberley ephemerovirus,Artiodactyl,1,unknown,Babayan2018,Babayan2018
Kirsten murine sarcoma virus,NA,NONE,NA,NA,Knipe2013,NA
Klamath tupavirus,NA,NA,NA,NA,NA,NA
Koala retrovirus,NA,Diprotodontia,0,NA,simmons2012,NA
Kokobera virus,Kokobera virus,Diprotodontia,1,mosquito,Babayan2018,Babayan2018
Kolente ledantevirus,Kolente ledantevirus,Orphan,1,tick,Babayan2018,Babayan2018
Koolpinyah ephemerovirus,NA,NA,NA,NA,NA,NA
Koongol orthobunyavirus,Koongol orthobunyavirus,NA,1,mosquito,NA,Shapshak2015
Kotonkan ephemerovirus,Kotonkan ephemerovirus,Orphan,1,midge,Babayan2018,Babayan2018
Koutango virus,Koutango virus,Rodent,1,mosquito,Shope2003,Shope2003
Kumasi ledantevirus,NA,Pterobat,NA,NA,binger2015,NA
Kunsagivirus A,NA,Orphan,NA,NA,boros2014,NA
Kyasanur Forest disease virus,Kyasanur Forest disease virus,NonHumanPrimate,1,tick,Calisher2003,Babayan2018
La Joya hapavirus,NA,NA,NA,NA,NA,NA
Lactate dehydrogenase-elevating virus,Gammaarterivirus lacdeh,Rodent,0,NA,Knipe2013,NA
Lagos bat lyssavirus,Lagos bat lyssavirus,Pterobat,0,NA,Babayan2018,NA
Laguna Negra orthohantavirus,Laguna Negra orthohantavirus,Rodent,0,NA,Shapshak2015,NA
Laibin orthohantavirus,NA,Orphan,NA,NA,xu2015,NA
Lambdapapillomavirus 1,Lambdapapillomavirus 1,Carnivore,0,NA,"Knipe2013, Bernard2010",NA
Lambdapapillomavirus 2,Lambdapapillomavirus 2,Carnivore,0,NA,"Knipe2013, Bernard2010",NA
Landjia hapavirus,NA,NA,NA,NA,NA,NA
Langat virus,Langat virus,Orphan,1,tick,Babayan2018,Babayan2018
Langur virus,Langur virus,NonHumanPrimate,0,NA,Fine1978,NA
Lassa mammarenavirus,Lassa mammarenavirus,Rodent,0,NA,Babayan2018,NA
Latino mammarenavirus,Latino mammarenavirus,Rodent,0,NA,Babayan2018,NA
Le Dantec ledantevirus,NA,Orphan,NA,unknown,Blasdell2015,NA
Lebombo virus,Lebombo virus,Orphan,1,midge,MohdJaafar2014; Brown1991,MohdJaafar2014
Leopards Hill virus,NA,Pterobat,0,NA,Babayan2018,NA
Lesavirus 1,NA,NonHumanPrimate,0,NA,Lim2015,NA
Lesavirus 2,NA,NonHumanPrimate,0,NA,Lim2015,NA
Lettuce big-vein associated varicosavirus,NA,Plant,NA,NA,NA,NA
Lettuce necrotic yellows cytorhabdovirus,Lettuce necrotic yellows cytorhabdovirus,Plant,1,aphid,Babayan2018,Babayan2018
Lettuce yellow mottle cytorhabdovirus,Lettuce yellow mottle cytorhabdovirus,Plant,1,unknown,Babayan2018,Babayan2018
Liao ning virus,NA,Insect,0,mosquito,prow2018,prow2018
Limnipivirus A,NA,Fish,0,NA,mor2016,NA
Limnipivirus B,NA,Fish,0,NA,mor2016,NA
Limnipivirus C,Limnipivirus C,Fish,0,NA,Babayan2018,NA
Lloviu cuevavirus,Lloviu cuevavirus,Vespbat,0,NA,Babayan2018,NA
Loei River mammarenavirus,Loei River mammarenavirus,Rodent,0,NA,Babayan2018,NA
Lone Star virus,NA,Orphan,1,tick,Babayan2018,Babayan2018
Long Island tick rhabdovirus,NA,Orphan,1,tick,Babayan2018,Babayan2018
Longquan orthohantavirus,NA,Orphan,0,NA,guo2013,NA
Louping ill virus,Louping ill virus,Artiodactyl,1,tick,Babayan2018,Babayan2018
Lujo mammarenavirus,Lujo mammarenavirus,Rodent,0,NA,Babayan2018,NA
Lumpy skin disease virus,Lumpy skin disease virus,Artiodactyl,0,NA,Tuppurainen2012,Tuppurainen2012
Luna mammarenavirus,Luna mammarenavirus,Rodent,0,NA,Babayan2018,NA
Lunk mammarenavirus,Lunk mammarenavirus,Rodent,0,NA,Babayan2018,NA
Luxi orthohantavirus,NA,Orphan,0,NA,zhang2011,NA
Lymphocytic choriomeningitis mammarenavirus,Lymphocytic choriomeningitis mammarenavirus,Rodent,0,NA,Babayan2018,NA
Lyssavirus Ozernoe,NA,NA,0,NA,NA,NA
Macaca mulatta polyomavirus 1,Macaca mulatta polyomavirus 1,NonHumanPrimate,0,NA,calvignacspencer2016,NA
Macacine alphaherpesvirus 1,Macacine alphaherpesvirus 1,NonHumanPrimate,0,NA,Wachtman2012,NA
Macacine betaherpesvirus 3,Macacine betaherpesvirus 3,NonHumanPrimate,0,NA,Wachtman2012,NA
Macacine gammaherpesvirus 4,Macacine gammaherpesvirus 4,NonHumanPrimate,0,NA,Wachtman2012,NA
Macacine gammaherpesvirus 5,Macacine gammaherpesvirus 5,NonHumanPrimate,0,NA,Wachtman2012,NA
Macaque simian foamy virus,Rhesus macaque simian foamy virus,NonHumanPrimate,0,NA,Knipe2013,NA
Machupo mammarenavirus,Machupo mammarenavirus,Rodent,0,NA,Babayan2018,NA
Macropodid alphaherpesvirus 1,Macropodid alphaherpesvirus 1,Macropod,0,NA,Stalder2015,NA
Macropodid alphaherpesvirus 2,Macropodid alphaherpesvirus 2,Macropod,0,NA,Stalder2015,NA
Madariaga virus,Madariaga virus,Rodent,1,unknown,arrigo2010; vittor2016,Babayan2018
Madrid orthobunyavirus,Madrid orthobunyavirus,NA,1,mosquito,NA,Contigiani2017
Magpie-robin coronavirus HKU18,NA,Orphan,0,NA,woo2012,NA
Main Drain orthobunyavirus,Main Drain orthobunyavirus,Lagomorph,1,midge,Calisher1986,Contigiani2017
Maize fine streak nucleorhabdovirus,Maize fine streak nucleorhabdovirus,Plant,1,leafhopper,Babayan2018,Babayan2018
Maize Iranian mosaic nucleorhabdovirus,Maize Iranian mosaic nucleorhabdovirus,Plant,1,planthopper,Babayan2018,Babayan2018
