"Host","Host_Upham"
"stenella coeruleoalba","Stenella coeruleoalba"
"stenella frontalis","Stenella frontalis"
"sus barbatus","Sus barbatus"
"sus celebensis","Sus celebensis"
"sus scrofa","Sus scrofa"
"sus verrucosus","Sus verrucosus"
"sylvicapra grimmia","Sylvicapra grimmia"
"syncerus caffer","Syncerus caffer"
"tragelaphus angasii","Tragelaphus angasii"
"tragelaphus eurycerus","Tragelaphus eurycerus"
"tragelaphus imberbis","Tragelaphus imberbis"
"tragelaphus oryx","Tragelaphus oryx"
"tragelaphus scriptus","Tragelaphus scriptus"
"tragelaphus spekii","Tragelaphus spekii"
"tragelaphus strepsiceros","Tragelaphus strepsiceros"
"tragulus javanicus","Tragulus javanicus"
"tursiops aduncus","Tursiops aduncus"
"tursiops truncatus","Tursiops truncatus"
"vicugna pacos","Vicugna pacos"
"vicugna vicugna","Vicugna vicugna"
"acinonyx jubatus","Acinonyx jubatus"
"ailuropoda melanoleuca","Ailuropoda melanoleuca"
"ailurus fulgens","Ailurus fulgens"
"arctocephalus australis","Arctocephalus australis"
"arctocephalus forsteri","Arctocephalus forsteri"
"arctocephalus galapagoensis","Arctocephalus galapagoensis"
"atilax paludinosus","Atilax paludinosus"
"bassaricyon gabbii","Bassaricyon gabbii"
"bassariscus astutus","Bassariscus astutus"
"callorhinus ursinus","Callorhinus ursinus"
"canis adustus","Canis adustus"
"canis aureus","Canis aureus"
"canis latrans","Canis latrans"
"canis lupus","Canis lupus"
"canis mesomelas","Canis mesomelas"
"canis simensis","Canis simensis"
"caracal caracal","Caracal caracal"
"cerdocyon thous","Cerdocyon thous"
"chrotogale owstoni","Chrotogale owstoni"
"chrysocyon brachyurus","Chrysocyon brachyurus"
"civettictis civetta","Civettictis civetta"
"crocuta crocuta","Crocuta crocuta"
"cynictis penicillata","Cynictis penicillata"
"cystophora cristata","Cystophora cristata"
"eira barbara","Eira barbara"
"enhydra lutris","Enhydra lutris"
"erignathus barbatus","Erignathus barbatus"
"eumetopias jubatus","Eumetopias jubatus"
"felis catus","Felis catus"
"felis margarita","Felis margarita"
"felis nigripes","Felis nigripes"
"felis silvestris","Felis silvestris"
"galerella pulverulenta","Herpestes pulverulentus"
"galerella sanguinea","Herpestes sanguineus"
"galictis cuja","Galictis cuja"
"genetta genetta","Genetta genetta"
"genetta maculata","Genetta maculata"
"genetta tigrina","Genetta tigrina"
"gulo gulo","Gulo gulo"
"halichoerus grypus","Halichoerus grypus"
"helarctos malayanus","Helarctos malayanus"
"herpestes edwardsii","Herpestes edwardsii"
"herpestes ichneumon","Herpestes ichneumon"
"hyaena hyaena","Hyaena hyaena"
"hydrurga leptonyx","Hydrurga leptonyx"
"ichneumia albicauda","Ichneumia albicauda"
"leopardus colocolo","Leopardus colocolo"
"leopardus geoffroyi","Leopardus geoffroyi"
"leopardus pardalis","Leopardus pardalis"
"leopardus tigrinus","Leopardus tigrinus"
"leopardus wiedii","Leopardus wiedii"
"leptailurus serval","Leptailurus serval"
"leptonychotes weddellii","Leptonychotes weddellii"
"lobodon carcinophaga","Lobodon carcinophaga"
"lontra canadensis","Lontra canadensis"
"lutra lutra","Lutra lutra"
"lycalopex culpaeus","Pseudalopex culpaeus"
"lycalopex griseus","Pseudalopex griseus"
