"PaperID","IndividualID","Virus_ICTV","Virus_strain_isolate","Host_Upham","Host_order","aggression","lethargy","vocalization","sensitivity","appetite","skin_issue","weight_loss","movement","eye_nose","pneumonia","neural_damage","respiratory_damage","reproductive_damage","digestive_damage","external_damage","internal_damage","severity_rank","Susceptible_YN"
1,"1_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"2_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"3_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"4_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"5_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"6_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"7_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"8_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
1,"9_1","Yokose virus","Oita-36","Rousettus_leschenaultii","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"1_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"2_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"3_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"4_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"5_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"6_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"7_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"8_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
2,"9_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"10_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Y"
2,"11_2","Lyssavirus caucasicus","","Eptesicus_fuscus","Chiroptera",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,"Y"
